table_id,table_desc,n,subset,var,outcome,est,ci_lower,ci_upper,p
8,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Tertile 3*Time,Executive function,0.000,-0.022,0.023,0.963
8,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Tertile 1*Time,Executive function,Reference,,,
8,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Tertile 2*Time,Executive function,0.023,-0.056,0.104,0.560
8,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Tertile 3*Time,Executive function,0.022,-0.055,0.098,0.583
8,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Tertile 1*Time,Global cognition,Reference,,,
8,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Tertile 2*Time,Global cognition,-0.008,-0.023,0.006,0.255
8,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Tertile 3*Time,Global cognition,-0.018,-0.034,-0.002,0.019
8,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Tertile 1*Time,Global cognition,Reference,,,
8,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Tertile 2*Time,Global cognition,-0.052,-0.096,-0.008,0.025
8,Association between baseline tertiles of combined low and no-caloric sweeteners and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Tertile 3*Time,Global cognition,-0.063,-0.105,-0.021,0.005
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Aspartame,Memory,0.000,-0.002,0.000,0.323
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Aspartame,Memory,-0.004,-0.007,-0.002,0.002
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Saccharin,Memory,-0.004,-0.012,0.002,0.234
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Saccharin,Memory,-0.024,-0.038,-0.009,0.001
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Acesulfame-k,Memory,-0.001,-0.004,0.001,0.368
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Acesulfame-k,Memory,-0.009,-0.015,-0.004,<0.001
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Erythritol,Memory,-0.038,-0.070,-0.004,0.025
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Erythritol,Memory,-0.030,-0.107,0.045,0.427
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Sorbitol,Memory,-0.0007,-0.001,0.000,0.033
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Sorbitol,Memory,0.000,-0.002,0.001,0.376
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Xylitol,Memory,-0.029,-0.049,-0.007,0.007
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Xylitol,Memory,-0.069,-0.122,-0.014,0.012
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Tagatose,Memory,0.030,-0.016,0.077,0.203
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Tagatose,Memory,0.035,0.104,0.176,0.616
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Aspartame,Verbal fluency,0.001,-0.002,0.000,0.353
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Aspartame,Verbal fluency,-0.003,-0.006,0.000,0.020
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Saccharin,Verbal fluency,-0.001,-0.008,0.006,0.691
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Saccharin,Verbal fluency,-0.009,-0.022,0.002,0.134
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Acesulfame-k,Verbal fluency,0.000,-0.002,0.002,0.845
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Acesulfame-k,Verbal fluency,-0.007,-0.012,-0.002,0.005
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Erythritol,Verbal fluency,-0.021,-0.054,0.010,0.180
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Erythritol,Verbal fluency,-0.033,-0.100,0.034,0.329
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Sorbitol,Verbal fluency,-0.0007,-0.001,0.000,0.018
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Sorbitol,Verbal fluency,-0.001,-0.002,0.000,0.080
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Xylitol,Verbal fluency,-0.010,-0.031,0.009,0.299
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Xylitol,Verbal fluency,-0.044,-0.091,0.002,0.060
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Tagatose,Verbal fluency,0.028,-0.018,0.074,0.232
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Tagatose,Verbal fluency,0.098,-0.222,0.026,0.120
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Aspartame,Executive function,0.001,0.000,0.002,0.185
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Aspartame,Executive function,0.001,-0.002,0.005,0.623
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Saccharin,Executive function,0.000,-0.007,0.007,0.996
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Saccharin,Executive function,0.010,-0.008,0.029,0.265
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Acesulfame-k,Executive function,0.002,0.000,0.004,0.136
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Acesulfame-k,Executive function,0.001,-0.006,0.008,0.800
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Erythritol,Executive function,-0.017,-0.053,0.018,0.346
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Erythritol,Executive function,-0.072,-0.172,0.028,0.160
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Sorbitol,Executive function,0.000,-0.001,0.000,0.604
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Sorbitol,Executive function,0.000,-0.002,0.002,0.916
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Xylitol,Executive function,-0.004,-0.027,0.018,0.693
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Xylitol,Executive function,0.012,-0.057,0.083,0.716
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Tagatose,Executive function,0.018,-0.031,0.068,0.476
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Tagatose,Executive function,-0.216,-0.404,-0.029,0.023
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Aspartame,Global cognition,0.001,-0.001,0.000,0.303
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Aspartame,Global cognition,-0.003,-0.005,-0.001,0.002
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Saccharin,Global cognition,-0.003,-0.009,0.001,0.177
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Saccharin,Global cognition,-0.014,-0.024,-0.003,0.009
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Acesulfame-k,Global cognition,0.000,-0.003,0.001,0.539
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Acesulfame-k,Global cognition,-0.006,-0.010,-0.002,<0.001
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Erythritol,Global cognition,-0.024,-0.047,-0.001,0.039
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Erythritol,Global cognition,-0.036,-0.090,0.018,0.196
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Sorbitol,Global cognition,-0.0005,-0.001,0.000,0.011
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Sorbitol,Global cognition,0.000,-0.002,0.000,0.203
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Xylitol,Global cognition,-0.016,-0.031,-0.001,0.030
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Xylitol,Global cognition,-0.051,-0.089,-0.013,0.009
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,Without diabetes,Tagatose,Global cognition,0.033,0.000,0.066,0.050
9,Association of individual low and no-caloric sweeteners at the study baseline and cognitive decline during eight years of follow-up stratified by diabetes status,12772,With diabetes,Tagatose,Global cognition,-0.043,-0.144,0.057,0.395
